scoreboard	1
	1018	1	6	617	157	1	100	3	105	1	67	1	53	3	157	2	35
	1019	2	4	409	159	1	44	1	131	1	55	0	0	2	0	2	159
	1004	3	4	484	121	2	98	3	93	1	121	0	0	0	0	1	112
	1012	4	3	301	166	1	48	1	166	1	87	0	0	2	0	0	0
	1009	5	3	525	169	5	114	0	0	1	0	0	0	2	142	1	169
	1013	6	2	161	95	1	66	0	0	1	95	0	0	0	0	0	0
	1008	7	2	228	131	2	77	0	0	1	131	0	0	0	0	0	0
	1014	8	2	235	161	2	161	0	0	1	54	0	0	0	0	0	0
	1005	9	2	251	171	2	80	0	0	1	171	0	0	0	0	0	0
	1015	10	2	253	158	2	158	0	0	1	75	0	0	0	0	0	0
	1003	11	2	260	98	3	82	0	0	3	98	0	0	0	0	0	0
	1021	12	2	273	154	2	154	0	0	1	99	0	0	0	0	0	0
	1016	13	2	307	162	4	162	2	0	1	85	0	0	0	0	1	0
	1007	14	1	73	53	2	53	1	0	1	0	0	0	0	0	0	0
	1020	15	1	183	163	3	163	4	0	0	0	0	0	0	0	0	0
	1011	16	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
	1006	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	1010	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
	1017	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
